File,Lines,SHA256
/Users/vikrambala/copilotstudio/mcp-apps/ask-productivity/productivity_mcp/models.py,242,512437c6e0ec6a55d804d91843e3db30752698a68551084bed0329ccf8fc7331
/Users/vikrambala/copilotstudio/mcp-apps/ask-productivity/productivity_mcp/token_manager.py,202,89906afc47f6394a20c0f7b8e2dbf7f06582be7c84663db0768fece0f13120cc
/Users/vikrambala/copilotstudio/mcp-apps/ask-productivity/productivity_mcp/dataverse_audit.py,659,3013a61183e2d4aae9bf9642e5bc06c6e4bbeee0a89bd5a6dd4186f05fd9ede0
/Users/vikrambala/copilotstudio/mcp-apps/ask-productivity/productivity_mcp/recommendation_engine.py,583,c4be210fb4b9c874ac7339af16264500cd67c124ea99c618812f2de0f9a03e6d
/Users/vikrambala/copilotstudio/mcp-apps/ask-productivity/productivity_mcp/tools_m365_writes.py,1933,6799992bb4c770c9e74a0e9b3a7db79311b4bd9665b5b71e521428a740e3bc15
/Users/vikrambala/copilotstudio/mcp-apps/ask-productivity/productivity_mcp/__init__.py,2,fef7e0a6dde5d9ba24e3d8d76951abbc46bf89c6bc2462ea80e2652f0024654c
/Users/vikrambala/copilotstudio/mcp-apps/ask-productivity/productivity_mcp/tools_m365_reads.py,773,76d8997383a0e9333b2a197050961c9a90bbcbfbe047180a6a417cb207490c32
/Users/vikrambala/copilotstudio/mcp-apps/ask-productivity/productivity_mcp/audit_client.py,220,d37eada14dfd4484e49312d5c51f9e1b5458aa7759fdc1456b94600f7d9dfb77
/Users/vikrambala/copilotstudio/mcp-apps/ask-productivity/productivity_mcp/m365_client.py,1108,1e8b3c3e475cbd64b8910de903e6cdeca6f15a7a9ccf1c8a46e53ec4c5f47c50
/Users/vikrambala/copilotstudio/mcp-apps/ask-productivity/shared_mcp/__init__.py,1,e2e4927cb2372e0475fa6baca10f847779aacd86aa79af11eb14c95036bbb996
/Users/vikrambala/copilotstudio/mcp-apps/ask-productivity/shared_mcp/logger.py,35,4ce6e60acb7d54c024c5aab37039ecef80e7b4abc1477e7018beafb659059a5a
/Users/vikrambala/copilotstudio/mcp-apps/ask-successfactors/successfactors_mcp/successfactors_client.py,2320,c1a84eb9bc0a51287d81a9a261f8592d3d85fe2f97611160a61cf1a5d1651615
/Users/vikrambala/copilotstudio/mcp-apps/ask-successfactors/successfactors_mcp/policy_engine.py,451,b3efd80d653bb96ba5bb77dd27a0af44592ef27a0892a12934a21aac39e93d7a
/Users/vikrambala/copilotstudio/mcp-apps/ask-successfactors/successfactors_mcp/adaptive_cards.py,555,eff12ca860b1bb00a3f239e998ff19221bc3cca0f54a13c5f5429abc3f2007ef
/Users/vikrambala/copilotstudio/mcp-apps/ask-successfactors/successfactors_mcp/successfactors_tools.py,758,16d049eaacc60d280bc0d2e07e48d8aa1f1b54f106b1dd8a1379d916aa0e60e7
/Users/vikrambala/copilotstudio/mcp-apps/ask-successfactors/successfactors_mcp/dataverse_audit.py,1178,e12cb1eaf927a688530060967ea1a74b46ebf1140a6975fab0cb64f17adbfe97
/Users/vikrambala/copilotstudio/mcp-apps/ask-successfactors/successfactors_mcp/successfactors_server.py,725,697ab7c505ab524c6e7615299953e2c3bd9607244b7f352541351995d43bf390
/Users/vikrambala/copilotstudio/mcp-apps/ask-successfactors/successfactors_mcp/chart_images.py,157,1c4b6cb104ca68d6dd9d8661e28ba0262f8669f5ed75bba3dcd003d24c8a5fd3
/Users/vikrambala/copilotstudio/mcp-apps/ask-successfactors/successfactors_mcp/cache.py,245,17ec7112d7713fb2cc1bb72d4ea63780705340d230ce5db0072257b69211b901
/Users/vikrambala/copilotstudio/mcp-apps/ask-successfactors/successfactors_mcp/__init__.py,2,14be812d56bdd70170652702b8c599a7c3f89708d6876a3b4f6e99023ce1ee6a
/Users/vikrambala/copilotstudio/mcp-apps/ask-successfactors/successfactors_mcp/consent_gate.py,92,5fa3ff877e3a0e482f9d51200ebed4ee36f4b2865d29336c21cf118c8d35fb9c
/Users/vikrambala/copilotstudio/mcp-apps/ask-successfactors/successfactors_mcp/connection_admin.py,217,38dc40d3b23f66fb3517948ad65d8454bf008d07de8354949c87fe0477ad84f6
/Users/vikrambala/copilotstudio/mcp-apps/ask-successfactors/successfactors_mcp/connection_manager.py,566,a6e4079680057b2178241e239cdc6af75c8d9c88837e6eaa501e4ca4e7165f31
/Users/vikrambala/copilotstudio/mcp-apps/ask-successfactors/successfactors_mcp/greeting_service.py,163,95872e652df5b7bcace77a3f2fa527e083a40f911c051c251931a7bdf674f6e5
/Users/vikrambala/copilotstudio/mcp-apps/ask-successfactors/successfactors_mcp/memory_service.py,236,740c589daca6b6a6c4a8460869bc72ca934e54a5e097e37ddbda0cfa1f434077
/Users/vikrambala/copilotstudio/mcp-apps/ask-successfactors/successfactors_mcp/__main__.py,5,29cf54bd9f163a41403c2c0e2ff37818568301b5dbdaac4b1547af0e2e78e81f
/Users/vikrambala/copilotstudio/mcp-apps/ask-successfactors/successfactors_mcp/successfactors_settings.py,77,01c5feed922ec27d16f3e7ce8f87c2452d2a8a369af215af6bd5ef5c8609401b
/Users/vikrambala/copilotstudio/mcp-apps/ask-successfactors/successfactors_mcp/consent_service.py,186,20a4f95f6bb8f6db905ab251c4889d0c42d50a32470e4986819929a5c8b255df
/Users/vikrambala/copilotstudio/mcp-apps/ask-successfactors/successfactors_mcp/policy_admin.py,177,47bb38cddba07e2c53ae574dccbb630a9a04058018b0ab230d9560f4be1a1e51
/Users/vikrambala/copilotstudio/mcp-apps/ask-successfactors/successfactors_mcp/background_logger.py,275,0392a4da900c3abe9192ddfc10b3f88f656a7d39ec9f05728f0a82952169bb30
/Users/vikrambala/copilotstudio/mcp-apps/ask-successfactors/shared_mcp/auth.py,8,87d112dad7367a4b519a73f67e0fe07a5446f5b8cda4ecd88512c477792e2340
/Users/vikrambala/copilotstudio/mcp-apps/ask-successfactors/shared_mcp/__init__.py,1,72033621e0c6b0a2b0d4d7faaf673af7c4f27cd2bd5e417e50f2cd98288e6133
